"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1966","27","07/09/1966","9","HI","Honolulu","2","58","7","5","6","11","29"
"1966","28","07/16/1966","2","NY","Schenectady","1","26","1","2","3","7","13"
"1966","29","07/23/1966","5","MD","Baltimore","10","278","24","7","22","84","141"
"1966","29","07/23/1966","6","AL","Montgomery","3","30","2","1","2","7","18"
"1966","30","07/30/1966","7","TX","Fort Worth","0","66","4","5","4","13","40"
"1966","31","08/06/1966","9","CA","San Francisco","4","197","4","7","19","64","103"
"1966","32","08/13/1966","3","IL","Chicago","29","727","40","41","80","205","361"
"1966","32","08/13/1966","9","CA","Sacramento","1","58","4","2","4","15","33"
"1966","33","08/20/1966","7","LA","Baton Rouge","1","30","4","0","0","11","15"
"1966","34","08/27/1966","3","IL","Chicago","29","702","60","25","44","192","381"
"1966","35","09/03/1966","9","CA","Long Beach","1","74","3","2","2","12","55"
"1966","36","09/10/1966","8","AZ","Phoenix","8","85","9","2","10","19","45"
"1966","36","09/10/1966","9","CA","Fresno","1","40","3","1","3","15","18"
"1966","37","09/17/1966","3","OH","Dayton","0","72","5","1","4","25","37"
"1966","37","09/17/1966","3","WI","Milwaukee","4","137","7","3","3","40","84"
"1966","38","09/24/1966","9","CA","Fresno","0","43","5","2","2","12","22"
"1966","39","10/01/1966","8","CO","Denver","2","118","6","3","6","33","70"
"1966","40","10/08/1966","3","OH","Toledo","1","110","8","1","1","32","68"
"1966","41","10/15/1966","5","DC","Washington","4","222","19","6","26","63","108"
"1966","41","10/15/1966","9","CA","San Jose","2","31","3","1","1","5","21"
"1966","42","10/22/1966","3","IN","Indianapolis","4","179","7","10","15","57","90"
"1966","43","10/29/1966","2","NJ","Elizabeth","0","35","1","3","1","11","19"
"1966","44","11/05/1966","3","MI","Detroit","6","324","23","7","17","109","168"
"1966","44","11/05/1966","3","OH","Toledo","5","97","5","1","7","24","60"
"1966","44","11/05/1966","7","TX","Corpus Christi","0","39","2","0","3","13","21"
"1966","45","11/12/1966","2","NJ","Elizabeth","2","26","0","0","4","6","16"
"1966","46","11/19/1966","4","KS","Kansas City","5","52","3","2","5","11","31"
"1966","46","11/19/1966","7","TX","Fort Worth","3","79","0","1","8","18","52"
"1966","48","12/03/1966","3","OH","Akron","0","73","11","3","6","18","35"
"1966","48","12/03/1966","3","OH","Cincinnati","3","168","6","1","17","37","107"
"1966","49","12/10/1966","5","NC","Charlotte","1","53","2","1","9","17","24"
"1966","50","12/17/1966","9","CA","San Diego","4","98","10","4","5","28","51"
"1966","51","12/24/1966","3","OH","Toledo","6","87","6","2","4","23","52"
"1966","52","12/31/1966","4","MN","Duluth","2","19","1","0","1","5","12"
"1967","7","02/18/1967","2","NY","Syracuse","1","58","5","1","2","10","40"
"1967","7","02/18/1967","6","TN","Chattanooga","1","38","2","4","1","6","25"
"1967","7","02/18/1967","9","CA","Long Beach","1","78","2","0","2","26","48"
"1967","8","02/25/1967","5","NC","Charlotte","3","44","3","5","4","17","15"
"1967","11","03/18/1967","3","OH","Dayton","2","61","1","0","7","22","31"
"1967","11","03/18/1967","7","AR","Little Rock","4","62","6","2","5","22","27"
"1967","12","03/25/1967","1","MA","Boston","15","325","12","13","27","80","193"
"1967","12","03/25/1967","3","IN","South Bend","1","52","2","2","4","18","26"
"1967","13","04/01/1967","7","TX","Dallas","3","142","11","11","13","36","71"
"1967","14","04/08/1967","1","MA","Worcester","2","55","3","1","3","6","42"
