"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1987","33","08/22/1987","3","OH","Dayton","2","117","2","3","6","22","84"
"1987","41","10/17/1987","2","NJ","Trenton","0","37","0","0","3","6","28"
"1987","45","11/14/1987","7","LA","Baton Rouge","4","24","0","0","2","2","20"
"1987","50","12/19/1987","6","TN","Knoxville","7","89","2","3","5","12","67"
"1987","51","12/26/1987","2","NY","Albany","2","43","0","2","2","7","32"
"1988","13","04/02/1988","1","CT","Waterbury","4","33","1","0","0","4","28"
"1988","26","07/02/1988","2","NY","Syracuse","3","87","3","2","4","15","63"
"1988","38","09/24/1988","2","NY","Albany","2","39","1","1","3","7","27"
"1988","44","11/05/1988","4","NE","Lincoln","0","31","3","1","2","4","21"
"1988","44","11/05/1988","9","HI","Honolulu","11","63","1","1","2","9","50"
"1988","50","12/17/1988","3","OH","Columbus","1","122","6","7","12","26","71"
"1989","2","01/14/1989","9","CA","San Jose","18","221","6","5","15","48","147"
"1989","5","02/04/1989","7","AR","Little Rock","5","70","2","7","4","13","44"
"1989","9","03/04/1989","1","MA","Worcester","9","61","2","0","0","13","46"
"1989","12","03/25/1989","8","AZ","Phoenix","4","161","8","7","9","34","103"
"1990","5","02/03/1990","7","TX","Dallas","21","297","6","8","34","68","181"
"1990","9","03/03/1990","7","LA","New Orleans","0","151","3","5","10","19","114"
"1990","14","04/07/1990","4","MN","Saint Paul","0","62","0","0","4","17","41"
"1990","27","07/07/1990","9","CA","Fresno","4","42","2","2","2","10","26"
"1990","28","07/14/1990","3","OH","Cincinnati","11","112","3","0","9","27","73"
"1990","30","07/28/1990","6","TN","Knoxville","8","101","1","5","9","27","59"
"1990","48","12/01/1990","7","AR","Little Rock","6","87","1","3","7","18","58"
"1990","50","12/15/1990","5","VA","Richmond","8","77","6","2","9","15","45"
"1991","7","02/16/1991","7","TX","San Antonio","8","191","8","8","15","34","126"
"1991","17","04/27/1991","1","RI","Providence","1","40","0","0","0","10","30"
"1991","20","05/18/1991","3","IL","Chicago","9","469","33","64","89","100","183"
"1991","28","07/13/1991","7","TX","Houston","26","414","19","23","69","98","205"
"1991","31","08/03/1991","7","OK","Tulsa","4","86","2","1","7","16","60"
"1991","39","09/28/1991","5","FL","Saint Petersburg","0","83","2","1","9","11","60"
"1991","44","11/02/1991","5","GA","Atlanta","9","203","2","5","24","50","122"
"1991","49","12/07/1991","9","HI","Honolulu","7","121","2","4","9","23","83"
"1991","50","12/14/1991","8","UT","Salt Lake City","3","35","2","1","4","5","23"
"1992","2","01/11/1992","1","CT","Bridgeport","7","60","2","2","3","6","47"
"1992","12","03/21/1992","9","CA","Long Beach","9","78","0","1","5","17","55"
"1992","17","04/25/1992","6","AL","Birmingham","2","102","2","5","8","17","70"
"1992","22","05/30/1992","7","TX","Austin","5","64","0","2","10","13","39"
"1992","23","06/06/1992","1","RI","Providence","0","35","0","0","1","7","27"
"1992","25","06/20/1992","3","IL","Peoria","2","51","2","0","3","7","39"
"1992","25","06/20/1992","3","IL","Rockford","2","52","1","2","5","7","37"
"1992","43","10/24/1992","9","CA","Pasadena","1","37","1","2","3","5","26"
"1992","45","11/07/1992","8","NV","Las Vegas","6","124","2","1","8","24","89"
"1992","46","11/14/1992","3","MI","Grand Rapids","3","56","3","4","7","3","39"
"1993","7","02/20/1993","7","TX","Corpus Christi","3","67","1","0","8","12","46"
"1993","16","04/24/1993","3","IN","South Bend","3","43","1","0","2","8","32"
"1993","18","05/08/1993","1","RI","Providence","1","25","0","0","1","4","20"
"1993","28","07/17/1993","8","UT","Salt Lake City","4","83","0","3","7","14","59"
"1993","46","11/20/1993","3","OH","Cincinnati","12","156","1","3","12","33","107"
"1993","46","11/20/1993","9","CA","Fresno","12","134","4","5","12","24","89"
"1994","3","01/22/1994","8","CO","Denver","8","110","3","4","8","14","81"
"1994","10","03/12/1994","3","OH","Cleveland","1","170","5","8","25","43","89"
"1994","22","06/04/1994","2","PA","Philadelphia","27","323","5","6","31","71","210"
"1994","24","06/18/1994","7","OK","Tulsa","14","123","2","1","6","26","88"
"1994","45","11/12/1994","1","CT","Waterbury","0","16","0","1","0","4","11"
"1994","46","11/19/1994","7","TX","Corpus Christi","1","46","2","2","7","7","28"
"1995","5","02/04/1995","7","AR","Little Rock","6","76","3","4","12","17","40"
"1995","8","02/25/1995","7","LA","New Orleans","0","118","3","9","13","25","68"
"1995","10","03/11/1995","9","CA","Los Angeles","29","738","8","29","115","132","440"
"1995","18","05/06/1995","7","TX","Dallas","3","192","5","12","24","39","112"
"1995","24","06/17/1995","1","MA","Worcester","7","44","0","0","6","9","29"
"1995","27","07/08/1995","3","MI","Grand Rapids","9","71","1","1","3","10","56"
"1995","28","07/15/1995","1","CT","Hartford","2","53","2","1","3","9","38"
"1995","51","12/23/1995","9","CA","Fresno","6","120","2","8","13","14","83"
"1996","7","02/17/1996","7","LA","Shreveport","4","33","1","1","3","6","22"
"1996","19","05/11/1996","9","WA","Tacoma","7","114","2","1","9","16","86"
"1996","21","05/25/1996","7","LA","Baton Rouge","2","65","4","3","7","13","38"
"1996","27","07/06/1996","1","MA","Fall River","0","19","1","0","1","2","15"
"1996","27","07/06/1996","9","CA","Long Beach","7","54","0","3","5","8","38"
"1996","28","07/13/1996","3","IN","Fort Wayne","1","62","0","3","4","7","48"
"1996","35","08/31/1996","8","AZ","Tucson","3","112","3","2","5","22","80"
"1996","40","10/05/1996","9","WA","Tacoma","7","83","5","2","4","12","60"
"1996","42","10/19/1996","4","NE","Omaha","6","83","3","4","3","16","57"
"1996","42","10/19/1996","5","FL","Saint Petersburg","4","49","3","0","4","6","36"
"1996","43","10/26/1996","3","OH","Akron","0","55","1","3","3","12","36"
"1996","50","12/14/1996","9","CA","San Jose","19","211","4","4","16","37","150"
"1997","8","02/22/1997","5","VA","Richmond","1","67","1","3","5","19","39"
"1997","9","03/01/1997","3","IN","South Bend","6","63","0","2","1","12","48"
"1997","10","03/08/1997","2","PA","Erie","4","42","0","0","1","7","34"
